businessId,flagged_reviews,one_star_count,total_reviews,total_stars,word_count,proportion_flagged_reviews,average_flagged_words_per_review,average_stars_per_review,proportion_one_star,name,neighborhood,address,postal_code,stars,review_count,categories,ifFail,failTimes
R1PQEK6qvrZVC9qcWfKvDA,30,7,151,647,43,0.198675,0.284768,4.28477,0.0463576,"Braddah's Island Style",University,4632 S Maryland Pkwy,89119,4.5,151,Food;Restaurants;Hawaiian;Desserts;Mexican;Tex-Mex;Asian Fusion,1,5
3kdSl5mo9dWC4clrQjEDGg,91,46,2594,11525,100,0.035081,0.0385505,4.44295,0.0177332,Egg & I,Westside,4533 W Sahara Ave,89102,4.5,2595,Restaurants;Burgers;American (Traditional);Sandwiches;Pizza;Breakfast & Brunch,0,0
4RoTEeqB_MNn6yaqZmlZHg,27,14,158,560,36,0.170886,0.227848,3.5443,0.0886076,Regal Cinemas Village Square 18,Westside,9400 W Sahara Ave,89117,3.5,158,Cinema;Arts & Entertainment,0,0
TTDMJetAQKfxVzKZy4Z_2Q,287,473,639,1010,339,0.449139,0.530516,1.58059,0.740219,Allegiant Airlines,Southeast,5757 Wayne Newton Blvd,89119,1.5,639,Airlines;Airports;Transportation;Hotels & Travel,0,0
WYw3Uf56DT5IwpaLNnCH5Q,453,197,2317,8887,582,0.195511,0.251187,3.83556,0.0850237,Vdara Hotel,The Strip,2600 W Harmon Ave,89158,4,2315,Beauty & Spas;Hotels;Resorts;Hotels & Travel;Event Planning & Services;Day Spas,0,0
hihud--QRriCYZw1zZvW4g,51,64,3264,14850,63,0.015625,0.0193015,4.54963,0.0196078,Gangnam Asian BBQ Dining,Eastside,4480 Paradise Rd,89169,4.5,3262,Asian Fusion;Restaurants;Barbeque;Korean;Tapas/Small Plates;Japanese,0,0
16tWXenJ1wTqugXJU7yiZg,57,60,451,1662,88,0.126386,0.195122,3.68514,0.133038,808 Sushi,Southwest,7435 S Durango Dr,89113,3.5,451,Sushi Bars;Food;Desserts;Restaurants,0,0
J5ylw6DXGmQ6hM06Ne3XHw,11,7,73,302,11,0.150685,0.150685,4.13699,0.0958904,The Phoenix Bar & Lounge,Westside,4213 W Sahara Ave,89102,4,73,Restaurants;American (New);Gay Bars;Nightlife;Bars;Lounges;Karaoke,0,0
y7Js-07RF8d3N_AEtaw2VQ,945,208,878,2611,1406,1.07631,1.60137,2.9738,0.236902,Heart Attack Grill,Downtown,450 Fremont St,89101,3,877,American (Traditional);Performing Arts;Arts & Entertainment;Burgers;Restaurants,1,3
RESDUcs7fIiihp38-d6_6g,1496,669,7006,26415,1890,0.213531,0.269769,3.77034,0.0954896,Bacchanal Buffet,The Strip,3570 S Las Vegas Blvd,89109,4,7009,Sandwiches;Buffets;Restaurants;Breakfast & Brunch;Food,0,0
xmvvkp5-O29l3EQQFEf3YQ,0,1,3,11,0,0,0,3.66667,0.333333,New York Cleaners,Sunrise,2755 S Nellis Blvd,89121,3.5,3,Local Services;Laundry Services;Dry Cleaning & Laundry,0,0
IMLrj2klosTFvPRLv56cng,92,60,1207,4742,98,0.076222,0.081193,3.92875,0.04971,Honey Salt,Westside,1031 S Rampart Blvd,89145,4,1206,Cafes;American (New);Restaurants,0,0
rJYZyjWH_GCMv-JZdykv6g,0,14,33,94,0,0,0,2.84848,0.424242,Eva Nails & Spa,University,4632 S Maryland Pkwy,89119,3,33,Hair Removal;Nail Salons;Beauty & Spas,0,0
