businessId,flagged_reviews,one_star_count,total_reviews,total_stars,word_count,proportion_flagged_reviews,average_flagged_words_per_review,average_stars_per_review,proportion_one_star,name,neighborhood,address,postal_code,stars,review_count,categories,ifFail,failTimes
R1PQEK6qvrZVC9qcWfKvDA,30,7,151,647,43,0.198675,0.284768,4.28477,0.0463576,"Braddah's Island Style",University,4632 S Maryland Pkwy,89119,4.5,151,Food;Restaurants;Hawaiian;Desserts;Mexican;Tex-Mex;Asian Fusion,1,5
y7Js-07RF8d3N_AEtaw2VQ,945,208,878,2611,1406,1.07631,1.60137,2.9738,0.236902,Heart Attack Grill,Downtown,450 Fremont St,89101,3,877,American (Traditional);Performing Arts;Arts & Entertainment;Burgers;Restaurants,1,3
tH0wF3EPPgAY14lnmK1_Sg,0,0,9,44,0,0,0,4.88889,0,Makai Pacific Island Grill,,1932 Rock Springs Dr,89128,5,9,Asian Fusion;Restaurants;Barbeque;Hawaiian,0,0
07gh-AImcEcWQ2bew-jprg,11,7,103,362,12,0.106796,0.116505,3.51456,0.0679612,Woo Che,Chinatown,4711 Spring Mountain Rd,89102,3.5,103,Korean;Restaurants;Barbeque;Buffets,1,4
pdgzBiQBs8HGUBJzXe9j6w,1,4,23,82,1,0.0434783,0.0434783,3.56522,0.173913,Gourmet Wok,Westside,7638 Westcliff Dr,89145,3.5,23,Chinese;Restaurants,1,3
zBD6zc8YU-TA0_KJmN1tpA,20,31,153,526,24,0.130719,0.156863,3.43791,0.202614,"Rosati's Pizza",South Summerlin,3370 S Hualapai Way,89117,3.5,152,Pizza;Italian;Salad;Restaurants,1,5
Ec9CBmL3285XkeHaNp-bSQ,70,48,1132,4698,86,0.0618375,0.0759717,4.15018,0.0424028,District One,Chinatown,3400 S Jones Blvd,89146,4,1132,Dive Bars;Seafood;Restaurants;Asian Fusion;Bars;Nightlife;Vietnamese;Sports Bars,1,4
Gml97gSULiA6HFjie01d3Q,28,30,239,934,28,0.117155,0.117155,3.90795,0.125523,Pellegrini Pizza,Westside,101 S Rainbow Blvd,89107,4,239,Food Delivery Services;Restaurants;Salad;Sandwiches;Food;Pizza,1,6
lsXRQ6DxyrbMFhl8croN8Q,4,10,103,397,4,0.038835,0.038835,3.85437,0.0970874,Yuki Shaved Snow,Centennial,8414 Farm Rd,89131,4,103,Desserts;Shaved Snow;Ice Cream & Frozen Yogurt;Food;Shaved Ice,0,0
N6MzDoao6s68nAIW8vS9dQ,61,34,558,2445,65,0.109319,0.116487,4.38172,0.0609319,"Biaggio's Pizzeria",Spring Valley,4235 S Fort Apache Rd,89147,4.5,558,Specialty Food;Pasta Shops;Restaurants;Italian;Pizza;Food,1,2
Hsn3CYnTsrQ2nJzTKefDQA,13,14,109,433,15,0.119266,0.137615,3.97248,0.12844,Pho Saigon 8,Spring Valley,6910 S Rainbow Blvd,89118,4,110,Coffee & Tea;Restaurants;Food;Sandwiches;Vietnamese,0,0
gBy6UXTpoSHhW6qd15XU0g,20,13,176,710,27,0.113636,0.153409,4.03409,0.0738636,Lakes Lounge,The Lakes,2920 Lake East Dr,89117,4,176,American (Traditional);Restaurants,0,0
xTlmLL2xZZ0xhZ2J16zXQQ,27,25,288,1147,32,0.09375,0.111111,3.98264,0.0868056,"Holley's Cuppa",Southwest,9265 S Cimarron Rd,89178,4,288,Food;Bakeries;Coffee & Tea;Juice Bars & Smoothies,1,1
qsJkjQoM3Hdg6Gtqp2S9_w,50,54,489,1823,74,0.102249,0.151329,3.72802,0.110429,"Archi's Thai Cafe",Westside,9350 W Sahara Ave,89117,3.5,489,Thai;Restaurants,1,4
9J-Vg2-uqjreSRtITaDlMg,0,1,22,93,0,0,0,4.22727,0.0454545,Odyssey Pizza,Downtown,1930 Fremont St,89101,4,22,Pizza;Restaurants,1,4
gBQH64vIkA-kIDFGM290dw,15,21,124,426,17,0.120968,0.137097,3.43548,0.169355,"Sultan's Grill",Summerlin,1910 Village Center Cir,89134,3.5,124,Restaurants;Mediterranean;Greek,1,3
87YsVbCN_kfzheY79Fzjkg,51,30,177,693,51,0.288136,0.288136,3.91525,0.169492,Pastry Palace,Westside,4523 W Sahara Ave,89102,4,177,Custom Cakes;Food;Cupcakes;Desserts;Bakeries,0,0
hU7z5Jtl57RIODS0hPg9Ug,28,15,149,597,28,0.187919,0.187919,4.00671,0.100671,Apache Taco Shop,The Lakes,2521 S Fort Apache Rd,89117,4,149,Breakfast & Brunch;Mexican;Tacos;Restaurants;Desserts;Food,1,1
PglC8rgguMIlT621p1BLdQ,29,41,681,2817,30,0.0425844,0.0440529,4.13656,0.0602056,Yum Cha,,4945 W Tropicana Ave,89103,4,681,Dim Sum;Hot Pot;Chinese;Restaurants;Cantonese,1,2
KYr67K-Ot9HKkv90KaXL5w,4,4,44,155,4,0.0909091,0.0909091,3.52273,0.0909091,Crazy Crepes,The Strip,3200 S Las Vegas Blvd,89109,3.5,44,Restaurants;Creperies,1,5
2iTsRqUsPGRH1li1WVRvKQ,34,46,1587,6994,43,0.0214241,0.0270951,4.40706,0.0289855,Carson Kitchen,Downtown,124 S 6th St,89101,4.5,1586,Salad;Comfort Food;Gastropubs;Nightlife;Cocktail Bars;Vegan;American (New);Bars;Tapas/Small Plates;Seafood;Food;Burgers;Restaurants;Desserts,1,4
X6TD8xLS_KMneyOGquOSVQ,2,5,30,111,2,0.0666667,0.0666667,3.7,0.166667,Blue Diamond Saloon,Southwest,6935 Blue Diamond Rd,89178,3.5,30,Bars;Nightlife,0,0
F0j-dNjFY4u49hql2Rz2fw,15,34,115,315,15,0.130435,0.130435,2.73913,0.295652,"Dunkin' Donuts",Southeast,409 E Silverado Ranch,89123,2.5,115,Coffee & Tea;Food;Donuts,1,3
qKn9nynsVYIST8rf6tEFRQ,5,16,149,577,5,0.033557,0.033557,3.87248,0.107383,Corner Thai Kitchen,Spring Valley,9575 W Tropicana Ave,89147,4,149,Thai;Salad;Restaurants,1,6
