,flagged_reviews,one_star_count,total_reviews,total_stars,word_count,proportion_flagged_reviews,average_flagged_words_per_review,average_stars_per_review,proportion_one_star,name,neighborhood,address,postal_code,stars,review_count,categories
R1PQEK6qvrZVC9qcWfKvDA,30,7,151,647,43,0.1986754966887417,0.2847682119205298,4.28476821192053,0.046357615894039736,Braddah's Island Style,University,4632 S Maryland Pkwy,89119.0,4.5,151.0,Food;Restaurants;Hawaiian;Desserts;Mexican;Tex-Mex;Asian Fusion
3kdSl5mo9dWC4clrQjEDGg,91,46,2594,11525,100,0.03508095605242868,0.03855050115651504,4.442945258288358,0.017733230531996914,Egg & I,Westside,4533 W Sahara Ave,89102.0,4.5,2595.0,Restaurants;Burgers;American (Traditional);Sandwiches;Pizza;Breakfast & Brunch
4RoTEeqB_MNn6yaqZmlZHg,27,14,158,560,36,0.17088607594936708,0.22784810126582278,3.5443037974683542,0.08860759493670886,Regal Cinemas Village Square 18,Westside,9400 W Sahara Ave,89117.0,3.5,158.0,Cinema;Arts & Entertainment
TTDMJetAQKfxVzKZy4Z_2Q,287,473,639,1010,339,0.4491392801251956,0.5305164319248826,1.5805946791862284,0.7402190923317684,Allegiant Airlines,Southeast,5757 Wayne Newton Blvd,89119.0,1.5,639.0,Airlines;Airports;Transportation;Hotels & Travel
WYw3Uf56DT5IwpaLNnCH5Q,453,197,2317,8887,582,0.1955114372032801,0.25118687958567115,3.835563228312473,0.08502373759171342,Vdara Hotel,The Strip,2600 W Harmon Ave,89158.0,4.0,2315.0,Beauty & Spas;Hotels;Resorts;Hotels & Travel;Event Planning & Services;Day Spas
hihud--QRriCYZw1zZvW4g,51,64,3264,14850,63,0.015625,0.019301470588235295,4.549632352941177,0.0196078431372549,Gangnam Asian BBQ Dining,Eastside,4480 Paradise Rd,89169.0,4.5,3262.0,Asian Fusion;Restaurants;Barbeque;Korean;Tapas/Small Plates;Japanese
16tWXenJ1wTqugXJU7yiZg,57,60,451,1662,88,0.12638580931263857,0.1951219512195122,3.6851441241685143,0.13303769401330376,808 Sushi,Southwest,7435 S Durango Dr,89113.0,3.5,451.0,Sushi Bars;Food;Desserts;Restaurants
J5ylw6DXGmQ6hM06Ne3XHw,11,7,73,302,11,0.1506849315068493,0.1506849315068493,4.136986301369863,0.0958904109589041,The Phoenix Bar & Lounge,Westside,4213 W Sahara Ave,89102.0,4.0,73.0,Restaurants;American (New);Gay Bars;Nightlife;Bars;Lounges;Karaoke
y7Js-07RF8d3N_AEtaw2VQ,945,208,878,2611,1406,1.0763097949886105,1.601366742596811,2.9738041002277904,0.23690205011389523,Heart Attack Grill,Downtown,450 Fremont St,89101.0,3.0,877.0,American (Traditional);Performing Arts;Arts & Entertainment;Burgers;Restaurants
RESDUcs7fIiihp38-d6_6g,1496,669,7006,26415,1890,0.21353125892092492,0.26976876962603485,3.7703397088210107,0.0954895803596917,Bacchanal Buffet,The Strip,3570 S Las Vegas Blvd,89109.0,4.0,7009.0,Sandwiches;Buffets;Restaurants;Breakfast & Brunch;Food
xmvvkp5-O29l3EQQFEf3YQ,0,1,3,11,0,0.0,0.0,3.6666666666666665,0.3333333333333333,New York Cleaners,Sunrise,2755 S Nellis Blvd,89121.0,3.5,3.0,Local Services;Laundry Services;Dry Cleaning & Laundry
IMLrj2klosTFvPRLv56cng,92,60,1207,4742,98,0.07622203811101906,0.0811930405965203,3.928748964374482,0.04971002485501243,Honey Salt,Westside,1031 S Rampart Blvd,89145.0,4.0,1206.0,Cafes;American (New);Restaurants
rJYZyjWH_GCMv-JZdykv6g,0,14,33,94,0,0.0,0.0,2.8484848484848486,0.42424242424242425,Eva Nails & Spa,University,4632 S Maryland Pkwy,89119.0,3.0,33.0,Hair Removal;Nail Salons;Beauty & Spas
eEnNw3_hBvxcFHyr23kAuA,628,495,2068,6234,911,0.3036750483558994,0.44052224371373305,3.014506769825919,0.2393617021276596,Hard Rock Hotel & Casino,Eastside,4455 Paradise Rd,89169.0,3.0,2066.0,Bars;Arts & Entertainment;Nightlife;Hotels & Travel;Event Planning & Services;Hotels;Casinos
tH0wF3EPPgAY14lnmK1_Sg,0,0,9,44,0,0.0,0.0,4.888888888888889,0.0,Makai Pacific Island Grill,,1932 Rock Springs Dr,89128.0,5.0,9.0,Asian Fusion;Restaurants;Barbeque;Hawaiian
07gh-AImcEcWQ2bew-jprg,11,7,103,362,12,0.10679611650485436,0.11650485436893204,3.5145631067961167,0.06796116504854369,Woo Che,Chinatown,4711 Spring Mountain Rd,89102.0,3.5,103.0,Korean;Restaurants;Barbeque;Buffets
dM8Yp8StA1NdusK5Ta_j-g,30,25,469,2014,33,0.06396588486140725,0.07036247334754797,4.294243070362473,0.053304904051172705,Retro Bakery,Centennial,7785 N Durango Dr,89131.0,4.5,469.0,Food;Bakeries;Desserts
1MrSwj8i2VEBHdp3IsWCpQ,2,4,112,507,6,0.017857142857142856,0.05357142857142857,4.526785714285714,0.03571428571428571,El Fish Taco,Southeast,2457 E Tropicana Ave,89121.0,4.5,112.0,Restaurants;Seafood;Breweries;Food;Mexican
gH0E4kqHaWjxoRtin7dmKA,0,2,14,58,0,0.0,0.0,4.142857142857143,0.14285714285714285,ALEX AND ANI,The Strip,3355 S Las Vegas Blvd,89109.0,4.0,14.0,Shopping;Jewelry
4ubvNMCunbZt0NrVqySXPw,0,2,21,90,0,0.0,0.0,4.285714285714286,0.09523809523809523,CPAP Store Las Vegas,Westside,4533 W Sahara Ave,89102.0,4.5,21.0,Medical Supplies;Shopping
bffQssCZ-KpA_PPIu6Vysg,23,7,18,41,23,1.2777777777777777,1.2777777777777777,2.2777777777777777,0.3888888888888889,Chuck E Cheeses,Sunrise,350 N Nellis Blvd,89110.0,2.5,18.0,Pizza;Restaurants
pdgzBiQBs8HGUBJzXe9j6w,1,4,23,82,1,0.043478260869565216,0.043478260869565216,3.5652173913043477,0.17391304347826086,Gourmet Wok,Westside,7638 Westcliff Dr,89145.0,3.5,23.0,Chinese;Restaurants
8olG8J91NG_QU92WHG5QfA,53,63,617,2385,88,0.08589951377633712,0.1426256077795786,3.86547811993517,0.10210696920583469,Amore Taste of Chicago,Spring Valley,3945 S Durango Dr,89147.0,4.0,617.0,Italian;Restaurants;Pizza
zBD6zc8YU-TA0_KJmN1tpA,20,31,153,526,24,0.13071895424836602,0.1568627450980392,3.4379084967320264,0.20261437908496732,Rosati's Pizza,South Summerlin,3370 S Hualapai Way,89117.0,3.5,152.0,Pizza;Italian;Salad;Restaurants
y4ETe3DkcIjjr_eyeg5U5g,29,14,760,3404,46,0.038157894736842106,0.060526315789473685,4.478947368421053,0.018421052631578946,Cornish Pasty,Downtown,10 E Charleston Blvd,89104.0,4.5,760.0,Restaurants;Specialty Food;Food;Bars;British;Nightlife;Pubs
X-WXPGYuuknAjZkpYGeRiw,289,193,445,1065,444,0.6494382022471911,0.9977528089887641,2.393258426966292,0.4337078651685393,Alexis Park Resort,Eastside,375 E Harmon Ave,89169.0,2.5,445.0,Professional Services;Swimming Pools;Venues & Event Spaces;Resorts;Event Planning & Services;Active Life;Hotels & Travel;Casinos;Arts & Entertainment;Hotels
gTlDDzDEHyDQ6iwjNhpI6A,56,66,1152,4973,70,0.04861111111111111,0.06076388888888889,4.316840277777778,0.057291666666666664,Mount Everest India's Cuisine,Westside,3641 W Sahara Ave,89102.0,4.5,1152.0,Indian;Restaurants
SUH0cMrRsysIu2hKqQQKBA,43,47,73,138,58,0.589041095890411,0.7945205479452054,1.8904109589041096,0.6438356164383562,The Rita Suites,,344 E Desert Inn Rd,89109.0,2.0,73.0,Event Planning & Services;Hotels;Hotels & Travel
ugLqbAvBdRDc-gS4hpslXw,220,152,1718,6767,264,0.1280558789289872,0.15366705471478465,3.938882421420256,0.08847497089639116,Yama Sushi,Eastside,1350 E Flamingo Rd,89119.0,4.0,1717.0,Restaurants;Sushi Bars
LYWbyu1EQM2o5hwHG5_Ldg,85,112,866,3000,90,0.09815242494226328,0.10392609699769054,3.464203233256351,0.12933025404157045,RM Seafood,The Strip,3950 S Las Vegas Blvd,89119.0,3.5,866.0,Sushi Bars;Seafood;Restaurants
KwKkNTxYGyo4H6pKZ6usSA,13,95,269,811,15,0.048327137546468404,0.055762081784386616,3.0148698884758365,0.35315985130111527,RC Willey,South Summerlin,3850 S Town Center Dr,89135.0,3.0,269.0,Appliances;Mattresses;Home Services;Home & Garden;Electronics;Carpeting;Shopping;Furniture Stores
JpgVl3d20CMRNjf1DVnzGA,335,478,1909,5754,456,0.1754845468831849,0.2388685175484547,3.0141435306443163,0.250392875851231,Pampas Churrascaria Brazilian Grille,The Strip,3663 S Las Vegas Blvd,89109.0,3.0,1911.0,Restaurants;Steakhouses;Brazilian;Buffets;Seafood
-3zffZUHoY8bQjGfPSoBKQ,45,26,590,2386,62,0.07627118644067797,0.10508474576271186,4.04406779661017,0.04406779661016949,Michael Mina,The Strip,3600 S Las Vegas Blvd,89109.0,4.0,590.0,Seafood;Bars;Nightlife;American (New);Restaurants
upxEHDxnEPwuts9xY0ylng,3,4,69,268,3,0.043478260869565216,0.043478260869565216,3.8840579710144927,0.057971014492753624,Gyro Time Restaurant,Westside,5239 W Charleston Blvd,89146.0,4.0,69.0,Greek;Restaurants;Mediterranean
xtYiHTmunjfCN2sUaQxBjA,842,600,2081,5555,1333,0.40461316674675635,0.6405574243152331,2.6693897164824603,0.28832292167227297,Rio All Suites Hotel & Casino,,3700 W Flamingo Rd,89103.0,2.5,2080.0,Casinos;Event Planning & Services;Hotels;Arts & Entertainment;Hotels & Travel
IkI9yPjx-MRYh-Jh-LqIiQ,6,15,79,265,6,0.0759493670886076,0.0759493670886076,3.3544303797468356,0.189873417721519,Downtown Crown Pub,Downtown,107 E Charleston Blvd,89104.0,3.5,79.0,British;Pubs;Bars;Nightlife;Restaurants
KjjNv4YFzBFnsBh2ncH1Iw,9,13,90,282,9,0.1,0.1,3.1333333333333333,0.14444444444444443,China Tango Bistro,Summerlin,10300 W Charleston Blvd,89135.0,3.0,90.0,Restaurants;Chinese
pRmb8_tAP5y4YPt_viL07g,32,21,234,888,36,0.13675213675213677,0.15384615384615385,3.7948717948717947,0.08974358974358974,Whole Foods Market,Westside,8855 W Charleston Blvd,89117.0,4.0,234.0,Health Markets;Specialty Food;Food;Grocery;Organic Stores
_3FxLxdg1unUQc3QqIgJuA,43,35,385,1434,48,0.11168831168831168,0.12467532467532468,3.724675324675325,0.09090909090909091,T-Bones Chophouse,South Summerlin,11011 W Charleston Blvd,89135.0,3.5,385.0,Steakhouses;Restaurants
JDZ6_yycNQFTpUZzLIKHUg,210,102,1690,7160,248,0.1242603550295858,0.1467455621301775,4.236686390532545,0.06035502958579882,El Dorado Cantina,,3025 Sammy Davis Jr Dr,89109.0,4.0,1694.0,Lounges;Mexican;Restaurants;Bars;Nightlife
hqOsV1nimZwMnu5dj7op5Q,0,0,20,91,0,0.0,0.0,4.55,0.0,Laughternoon,Downtown,301 Fremont St,89101.0,4.5,20.0,Performing Arts;Arts & Entertainment
01Ov9eDxKRY5k6ImMdiWLQ,69,44,166,517,125,0.41566265060240964,0.7530120481927711,3.1144578313253013,0.26506024096385544,Hong Kong Garden Seafood & BBQ Cafe,Chinatown,3407 S Jones Blvd,89146.0,3.0,166.0,Barbeque;Chinese;Restaurants;Seafood
ujHiaprwCQ5ewziu0Vi9rw,693,376,3836,13073,981,0.18065693430656934,0.2557351407716371,3.4079770594369134,0.09801876955161627,The Buffet at Bellagio,The Strip,3600 S Las Vegas Blvd,89109.0,3.5,3838.0,Buffets;Restaurants;American (New)
QJR4qBUHegWEozSQrGmBPw,107,115,1747,6685,133,0.061247853463079566,0.07613050944476245,3.8265598168288495,0.0658271322266743,Olives,The Strip,3600 S Las Vegas Blvd,89109.0,4.0,1747.0,Bars;Mediterranean;American (New);Nightlife;Restaurants
bzI2YREsxDomhVvvaZmcSw,10,12,229,892,12,0.043668122270742356,0.05240174672489083,3.8951965065502185,0.05240174672489083,Sammy's Woodfired Pizza and Grill,Spring Valley,7345 Arroyo Crossing Pkwy,89113.0,4.0,229.0,Pizza;Salad;Restaurants;Gluten-Free
esBRj9uPRzwxaW4Lz1XGLA,87,49,585,2237,122,0.14871794871794872,0.20854700854700856,3.823931623931624,0.08376068376068375,Oyster Bar,The Strip,3475 S Las Vegas Blvd,89109.0,4.0,585.0,Seafood;Live/Raw Food;Italian;Restaurants
D9iGotN_nI8MCzVpISep9w,1,0,27,108,1,0.037037037037037035,0.037037037037037035,4.0,0.0,Que Huong Restaurant,Chinatown,3409 S Jones Blvd,89146.0,4.0,27.0,Restaurants;Vietnamese
0zoXYHq82haayMaV952jEQ,37,25,356,1405,38,0.10393258426966293,0.10674157303370786,3.946629213483146,0.0702247191011236,Greens and Proteins,Spring Valley,9809 W Flamingo Rd,89147.0,4.0,355.0,Sandwiches;Juice Bars & Smoothies;Pizza;Burgers;Food;Restaurants;American (New)
zcScEL0WEdFkROcnz5379g,180,56,886,3579,225,0.20316027088036118,0.25395033860045146,4.039503386004514,0.06320541760722348,The Boiling Crab,,4025 S Decatur Blvd,89103.0,4.0,885.0,Seafood;Cajun/Creole;Restaurants
czyhvf93Txsfxdxqcm16mA,40,39,338,1278,47,0.11834319526627218,0.1390532544378698,3.7810650887573964,0.11538461538461539,Rice n Noodle,Southwest,7910 S Rainbow Blvd,89139.0,4.0,338.0,Noodles;Restaurants;Chinese
FCP5hYaTtn6dkpmZ_NTvEw,32,10,212,772,42,0.1509433962264151,0.19811320754716982,3.641509433962264,0.04716981132075472,Makino,Downtown,775 S Grand Central Pkwy,89106.0,3.5,212.0,Japanese;Buffets;Restaurants
Ec9CBmL3285XkeHaNp-bSQ,70,48,1132,4698,86,0.061837455830388695,0.07597173144876325,4.15017667844523,0.04240282685512368,District One,Chinatown,3400 S Jones Blvd,89146.0,4.0,1132.0,Dive Bars;Seafood;Restaurants;Asian Fusion;Bars;Nightlife;Vietnamese;Sports Bars
JTFFtWy_chbsHTs95yD_2Q,56,91,814,2666,69,0.0687960687960688,0.08476658476658476,3.2751842751842752,0.11179361179361179,Cafe Bellagio,The Strip,3600 S Las Vegas Blvd,89109.0,3.5,814.0,Restaurants;Sandwiches;Burgers;American (New);American (Traditional);Cafes
ruPFtD9dU6Cv9_wpzIR4UQ,43,67,427,1353,65,0.10070257611241218,0.1522248243559719,3.168618266978923,0.15690866510538642,Coronado Cafe,Southeast,9777 S Las Vegas Blvd,89183.0,3.0,427.0,Restaurants;Diners
VRTfAP2DjvUYxRY3dw37hA,32,5,176,725,32,0.18181818181818182,0.18181818181818182,4.119318181818182,0.028409090909090908,Spa and Salon at Bellagio,The Strip,3600 S Las Vegas Blvd,89109.0,4.0,176.0,Gyms;Beauty & Spas;Active Life;Fitness & Instruction;Hair Salons;Day Spas
Wg91oE233AzNieNryRJYYg,11,35,116,327,15,0.09482758620689655,0.12931034482758622,2.8189655172413794,0.3017241379310345,Applebee's Neighborhood Grill & Bar,Eastside,3340 S Maryland Pkwy,89109.0,3.0,116.0,Sports Bars;Nightlife;American (New);Restaurants;American (Traditional);Steakhouses;Burgers;Bars
XjepvTIfp4iqGq1orODedg,60,29,404,1564,92,0.1485148514851485,0.22772277227722773,3.871287128712871,0.07178217821782178,Four Kegs Sports Bar,,276 N Jones Blvd,89107.0,4.0,403.0,Nightlife;Restaurants;American (New);Sports Bars;American (Traditional);Bars
lTixk1IT-D4hoMZ6LgoyHQ,68,38,820,3456,76,0.08292682926829269,0.09268292682926829,4.214634146341464,0.046341463414634146,The Barrymore,The Strip,99 Convention Center Dr,89109.0,4.0,820.0,Restaurants;American (New);Steakhouses
NSifXpsCRvnsBRqrHF9CJA,3,9,42,132,3,0.07142857142857142,0.07142857142857142,3.142857142857143,0.21428571428571427,Lucky Bar,South Summerlin,11011 W Charleston Blvd,89135.0,3.0,42.0,Nightlife;Bars;Sports Bars
6Q7-wkCPc1KF75jZLOTcMw,1237,847,2172,5061,2034,0.5695211786372008,0.93646408839779,2.3301104972375692,0.38996316758747696,Circus Circus Las Vegas Hotel and Casino,The Strip,2880 S Las Vegas Blvd,89109.0,2.5,2171.0,Arts & Entertainment;Event Planning & Services;Hotels & Travel;Casinos;Hotels
