id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open
003b6f4PdppnakGqwo0fUQ,Sola Salon,Southwest,"7355 S Buffalo, Ste D",Las Vegas,NV,89113,36.0542,-115.262,5,21,1
005XmZKuJZuNbl5tGXc5SA,"Tony Roma's",Downtown,620 E Sahara Ave,Las Vegas,NV,89104,36.1443,-115.146,3,21,0
00XfKQ16CTyzHSqYKNtpMw,Gela Style LV,Westside,1225 S Ft Apache Rd,Las Vegas,NV,89117,36.1569,-115.292,5,4,1
018BsTDbjFjZyWgR0rW_1w,Healthcare Preparatory Institute,Northwest,"5831 W Craig Rd, Ste 102",Las Vegas,NV,89130,36.2375,-115.224,2,4,1
01HOpf3J_zCNTMGzMvnOGA,ABC Foot Spa,Chinatown,"3650 S Jones Blvd, Ste 1",Las Vegas,NV,89103,36.123,-115.224,3,25,0
01Ov9eDxKRY5k6ImMdiWLQ,Hong Kong Garden Seafood & BBQ Cafe,Chinatown,3407 S Jones Blvd,Las Vegas,NV,89146,36.1272,-115.225,3,166,1
01SiPgdiOskMC5bUJoyy_g,"Winchell's Pub & Grill",Southeast,199 E Warm Springs Rd,Las Vegas,NV,89119,36.0566,-115.164,4,128,1
01VPJkcU0m8WzlA7dCEpVQ,Tea Space,Chinatown,"3466 S Decatur Blvd, Ste E",Las Vegas,NV,89102,36.1268,-115.208,4.5,220,1
01y2nhcyDbPpNEoPiuRWMw,Desert Palm Tennis Club,Westside,3090 S Jones Blvd,Las Vegas,NV,89146,36.1326,-115.224,5,3,1
02gcdoVJrnxrdzhffs_3dQ,CareNow Urgent care,Southeast,"9785 S Maryland Pkwy, Ste A-2",Las Vegas,NV,89183,36.0116,-115.137,3,51,1
02pL_Xj3sTO_lHcWqUcwKA,"Rollin' Smoke BBQ",Spring Valley,"4115 S Grand Canyon Dr, Ste 100",Las Vegas,NV,89147,36.1147,-115.31,4,203,1
02P_M7H7N5Wqhj6Dk379uw,"Vince Neil's Girls Girls Girls",,4740 S Arville St,Las Vegas,NV,89103,36.1038,-115.199,3.5,7,0
02wo3mCCkdED47sNPwuu6Q,"Baby Lou's Delights",Southeast,6605 S Las Vegas Blvd,Las Vegas,NV,89119,36.0672,-115.176,3.5,26,1
039QG6ks4UYNkMA3mcII2A,Episage Wellness Center,University,"1601 E Flamingo Rd, Ste 20",Las Vegas,NV,89119,36.1136,-115.13,4.5,38,0
03e_aZlpTBiIva4SlBE1nw,"Relax, Just Vaping",Northwest,"5590 Painted Mirage Rd, Ste 100",Las Vegas,NV,89149,36.2626,-115.256,4,34,1
03hgFWEcDg205hOCnswwiQ,RE Tapas,Southeast,467 E Silverado Ranch Blvd,Las Vegas,NV,89123,36.0121,-115.153,3.5,25,0
03icrim6SfEQJlejDMbzsA,Pho Saigon,Chinatown,"6820 Spring Mountain Rd, Ste C111",Las Vegas,NV,89146,36.1268,-115.241,4,110,0
03Yt7kMeYihN_y6ptiXxyQ,Del Taco,Centennial,6311 Centennial Center Blvd,Las Vegas,NV,89149,36.2738,-115.268,3,21,1
041JPDI1PBSuNSTcvtYomQ,Cabinets & Co,Westside,"6145 W Sahara Ave, Ste 5",Las Vegas,NV,89146,36.1429,-115.227,5,6,1
04alYZB3N4gBnzKKOYkFhQ,Air Done Right,,,Las Vegas,NV,89103,36.1104,-115.207,5,41,1
04Ap824N__YXYNvaVmDYeQ,Under Armour,Downtown,"525 S Grand Central Pkwy, Ste 3373",Las Vegas,NV,89106,36.1649,-115.156,4,8,1
04uElIqdb2yPddrHbnAQjg,Christian Louboutin,The Strip,"Las Vegas Crystals, 3720 Las Vegas Blvd S, Ste 255",Las Vegas,NV,89158,36.1188,-115.177,3.5,20,1
04_Ci1SQ3lYVRUqKQyqBTw,Las Vegas Country Club,Eastside,3000 Joe W Brown Dr,Las Vegas,NV,89109,36.1344,-115.147,4.5,28,1
05qUHkx1cOv9i8GFLhZqoQ,Paris Laser and Cosmetic Tattoo,Spring Valley,"5135 S Durango Dr, Ste 104",Las Vegas,NV,89113,36.0958,-115.28,4.5,17,1
05Solp0aY1YTZqoORMjUTg,La Pupusa Loca,Sunrise,"1000 N Nellis Blvd, Ste M",Las Vegas,NV,89110,36.1782,-115.062,2.5,9,1
05TuVKl9KEYQjROpQuTKhw,Fletcher Jones Toyota Scion,Downtown,3255 E Sahara Ave,Las Vegas,NV,89104,36.1443,-115.105,3,42,0
05USFUs4dX8LG6DCY2GNAA,SPEEDVEGAS,,14200 S Las Vegas Blvd,Las Vegas,NV,89054,35.9365,-115.187,5,142,1
05zCjJtH2dcHwesOW4cCQw,Poker Room,Summerlin,11029 W Charleston Blvd,Las Vegas,NV,89153,36.1589,-115.338,3,9,1
065c76tt1dXBNmoGBymUgQ,"Cheffini's Hot Dogs",Downtown,"707 Fremont St, Ste 1050",Las Vegas,NV,89101,36.1678,-115.138,4,159,1
06fXKnwFnFFKpWCmIHfQCg,Meridian Luxury Resorts,Eastside,250 E Flamingo Rd,Las Vegas,NV,89169,36.1147,-115.161,5,5,0
06J2JnXiNOS1GBuqw7pGLQ,Hollywood Smile Dental,Southeast,2425 E Tropicana Ave,Las Vegas,NV,89121,36.0988,-115.117,4.5,19,1
06MlxbtB4ZYeg_ri02RIAQ,El Pollo Loco,Westside,2401 S Decatur Blvd,Las Vegas,NV,89102,36.145,-115.208,2.5,53,1
06Vts51gZrtBnFMs6sBPbA,Centennial Ob/Gyn,Centennial,"6850 N Durango Dr, Ste 420",Las Vegas,NV,89149,36.2854,-115.288,4.5,89,1
06_bDWrsZkj5l1u1OUZ4Vg,Cupz,Southwest,8520 Blue Diamond Rd,Las Vegas,NV,89178,36.0208,-115.277,3.5,37,0
070x611bvBrBqG3ODqe3dg,Bags Belts & Baubles,The Strip,3131 Las Vegas Blvd S,Las Vegas,NV,89109,36.1266,-115.165,4.5,3,1
07bwsGzhb3EncDL1HUFUpQ,Vision Source,The Lakes,8937 W Sahara Ave,Las Vegas,NV,89117,36.1437,-115.292,4.5,76,1
