id,name,neighborhood,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open
4mmuMuxPK7glmgmF9mZimg,Venetian Casino Grazie Club Gold Room,The Strip,3355 S Las Vegas Blvd,Las Vegas,NV,89109,36.1214,-115.171,4,4,1
4Azs1HUqi0Nk6s6xB_9jsQ,Shizen Japanese Restaurant,Westside,221 N Rampart Blvd,Las Vegas,NV,89145,36.1757,-115.292,3.5,82,1
61qDFkNrHKzyA9n3dlgcEw,The Carmel Room,Westside,221 N Rampart Blvd,Las Vegas,NV,89145,36.167,-115.281,3.5,60,0
07MpHT8TrGDI_UVktfKMPA,The Salon At Red Rock,South Summerlin,11011 W Charleston Blvd,Las Vegas,NV,89135,36.1553,-115.332,3.5,3,1
0p27EjcNwTI7Ey4K_MNPww,Fatburger,South Summerlin,11011 W Charleston Blvd,Las Vegas,NV,89135,36.1564,-115.334,3,70,1
0WoQQlMXVIDEgI0xNdENKA,Feast Buffet,South Summerlin,11011 W Charleston Blvd,Las Vegas,NV,89135,36.1566,-115.333,3.5,568,1
5uhFmC5IiWkD6OUJMmL3sQ,The Spa at Red Rock,South Summerlin,11011 W Charleston Blvd,Las Vegas,NV,89135,36.1373,-115.352,3.5,72,1
6Vvr7K3fB4oDVBeSBPvvyQ,"Ben & Jerry's Ice Cream",South Summerlin,11011 W Charleston Blvd,Las Vegas,NV,89135,36.1559,-115.334,4,18,1
1FAvxOUOGGyZoYNlAXACag,Dal Toro Ristorante,The Strip,3325 S Las Vegas Blvd,Las Vegas,NV,89109,36.1243,-115.17,2.5,329,0
2RCB307uNxQekVQEr4IrKQ,The Playing Field Lounge,The Strip,3667 S Las Vegas Blvd,Las Vegas,NV,89136,36.1096,-115.173,3,9,1
68vGFIH94olrtPi1kAEYVw,Gordie Brown,The Strip,3667 S Las Vegas Blvd,Las Vegas,NV,89109,36.1097,-115.17,4,118,1
3ajqOW9A7VhResA08I7RTg,Hash House A Go Go,Downtown,1 S Main St,Las Vegas,NV,89101,36.1719,-115.147,3.5,672,1
19umlhmVB9O3njIBfRAe8g,Fiesta Rancho,,2400 N Rancho Dr,Las Vegas,NV,89130,36.2016,-115.195,2.5,89,1
4tWF2w6jP2LNK2xTVNEMFw,"Garduno's of Mexico",,2400 N Rancho Dr,Las Vegas,NV,89130,36.2016,-115.195,3.5,57,1
6t0lSl779B9mkBspmW0syQ,Luxor IMAX Theatre,The Strip,3900 S Las Vegas Blvd,Las Vegas,NV,89119,36.0948,-115.173,2.5,5,0
4eO86WWyUBbsoCro6NrXEQ,Bishop Gorman High School,South Summerlin,5959 S Hualapai Way,Las Vegas,NV,89135,36.0813,-115.316,3,9,1
0YG_kM5caZhtwd6nbnei6A,The Charcoal Room,,2411 W Sahara Ave,Las Vegas,NV,89102,36.1432,-115.175,4,120,1
0K4tCSMV6BqFxOsgZFqfVw,Rocky Mountain Chocolate Factory,,4500 W Tropicana Ave,Las Vegas,NV,89103,36.1027,-115.202,3.5,21,1
5TY6bUT3bbl9aHItiIXXqw,"Big Al's Oyster Bar",,4500 W Tropicana Ave,Las Vegas,NV,89103,36.1026,-115.202,3.5,271,1
6s7uduX1Q1KSjOKvwxYkRA,Koji Sushi Bar and China Bistro,,4500 W Tropicana Ave,Las Vegas,NV,89103,36.1023,-115.202,3.5,90,0
0l_HQpZ4gsR5T6Ejqcgi2Q,The Eddie Griffin Experience,,3700 W Flamingo Rd,Las Vegas,NV,89103,36.117,-115.186,3,27,1
0JJlFunCGdTURUTSHZNmjQ,Tenaya Salon,Northwest,3950 N Tenaya Way,Las Vegas,NV,89129,36.2322,-115.251,4,4,1
09a8Mrd3STr4AxokKgbZHA,Sushi Avenue 2,Northwest,4949 N Rancho Dr,Las Vegas,NV,89130,36.2491,-115.243,4,8,0
4F_7Ihf9FBXCW6PUllXptA,Big League Dreams Sport Park,,3151 E Washington Ave,Las Vegas,NV,89101,36.1792,-115.102,3.5,36,1
4SPd65eJ1K0KiBPvXpo50A,Green Valley Grocery,Westside,7540 Westcliff Dr,Las Vegas,NV,89145,36.1744,-115.259,3,3,1
