Column,business_id,name,neighborhood,address,postal_code,latitude,longitude,stars,review_count,categories
6,kCoE3jvEtg6UVz5SOD3GVw,BDJ Realty,Summerlin,2620 Regatta Dr,89128,36.2074,-115.26846,4,5,Real Estate Services;Real Estate;Home Services;Property Management
26,VBHEsoXQb2AQ76J9l8h1uQ,"Alfredo's Jewelry",Southeast,5775 S Eastern,89119,36.0851,-115.11942080200001,4.5,23,Shopping;Jewelry;Watch Repair;Local Services
49,_F3AMoo_zdl-he384ISQbw,Rock of Ages,,3700 W Flamingo Rd,89109,36.117,-115.185696,4,213,Arts & Entertainment;Performing Arts
53,4srfPk1s8nlm1YusyDUbjg,Subway,Southeast,6889 S Eastern Ave,89119,36.0647,-115.1189541,2.5,6,Fast Food;Restaurants;Sandwiches
60,v2GJWvZqEAjUc22hZUYzYw,"John Armond Actor's Studio",Westside,8125 W Sahara Ave,89117,36.1425,-115.26873059999998,4.5,12,Education;Performing Arts;Specialty Schools;Art Schools;Arts & Entertainment
61,MmR06_kNAbmOPK-0pKvGtA,Cinnabon,Westside,4300 Meadows Ln,89107,36.1725,-115.197258,4,3,Food;Coffee & Tea;Desserts
82,bOOgAB_CEWWsxalAthnRSw,Tenors of Rock,The Strip,3475 S Las Vegas Blvd,89109,36.1193,-115.17177020000001,4.5,46,Performing Arts;Arts & Entertainment
108,d2HSFutxpaYsCPglJPRe1Q,"Winchell's Donut House",Westside,4700 Meadows Ln,89107,36.1713,-115.205316257,4,13,Food;Donuts
115,oB5KH-jYU93w-QnHas6EMA,Aces High Tobacco & Gifts,Westside,101 S Rainbow Blvd,89145,36.1722,-115.2429831,4,19,Art Galleries;Arts & Entertainment;Head Shops;Tobacco Shops;Shopping
122,Wpt0sFHcPtV5MO9He7yMKQ,"McDonald's",Eastside,3020 E Desert Inn Rd,89121,36.13,-115.10931000000001,2,20,Restaurants;Fast Food;Burgers
123,ZvvX30vgzBD2Ezd1zM33IQ,Center For Behavioral Health,Eastside,3050 E Desert Inn Rd,89121,36.1305,-115.1084585,3.5,3,Health & Medical;Counseling & Mental Health
